,no_of_images,ch_in,dim_in_row,dim_in_column,ch_out,dim_out_row,dim_out_column,filter_row,filter_column,feature_map_memory,filter_coefficient_memory,macs,comp,activation,input_map_bytes,output_map_bytes,fitler_coeff_bytes,input_map_location,output_map_location,fitler_location,input_data_movement*1000000.0,output_data_movement*1000000.0,filter_data_movement*1000000.0,total_data_movement*1000000.0,matrix_compute_time*1000000.0,vector_compute_time*1000000.0,total_compute_time*1000000.0,serial*1000000.0,parallel*1000000.0
Const,10.0,3.0,224.0,224.0,3.0,224.0,224.0,0.0,0.0,301056.0,3.0,0.0,150528.0,150528.0,150528.0,150528.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0003,0.0003,0.0,0.0,0.0,0.0003,0.0003
InceptionV3/Conv2d_1a_3x3/,10.0,3.0,224.0,224.0,32.0,111.0,111.0,3.0,3.0,1756160.0,896.0,43352064.0,150528.0,394272.0,150528.0,394272.0,896.0,0.0,0.0,1.0,0.0,0.0,0.0896,0.0896,193.536,0.0,193.536,193.6256,193.536
InceptionV3/InceptionV3/Conv2d_1a_3x3/BiasAdd,10.0,32.0,111.0,111.0,32.0,111.0,111.0,0.0,0.0,788544.0,32.0,0.0,394272.0,394272.0,394272.0,394272.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0032,0.0032,0.0,0.0,0.0,0.0032,0.0032
InceptionV3/InceptionV3/Conv2d_1a_3x3/Relu,10.0,32.0,111.0,111.0,32.0,111.0,111.0,0.0,0.0,788544.0,32.0,0.0,394272.0,394272.0,394272.0,394272.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0032,0.0032,0.0,0.0,0.0,0.0032,0.0032
InceptionV3/Conv2d_2a_3x3/,10.0,32.0,111.0,111.0,32.0,109.0,109.0,3.0,3.0,788544.0,9248.0,113550340.0,394272.0,380192.0,394272.0,380192.0,9248.0,0.0,0.0,1.0,0.0,0.0,0.9248,0.9248,1022.976,0.0,1022.976,1023.9008,1022.976
InceptionV3/InceptionV3/Conv2d_2a_3x3/BiasAdd,10.0,32.0,109.0,109.0,32.0,109.0,109.0,0.0,0.0,760384.0,32.0,0.0,380192.0,380192.0,380192.0,380192.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0032,0.0032,0.0,0.0,0.0,0.0032,0.0032
InceptionV3/InceptionV3/Conv2d_2a_3x3/Relu,10.0,32.0,109.0,109.0,32.0,109.0,109.0,0.0,0.0,760384.0,32.0,0.0,380192.0,380192.0,380192.0,380192.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0032,0.0032,0.0,0.0,0.0,0.0032,0.0032
InceptionV3/Conv2d_2b_3x3/,10.0,32.0,109.0,109.0,64.0,109.0,109.0,3.0,3.0,1140576.0,18496.0,218990600.0,380192.0,760384.0,380192.0,760384.0,18496.0,0.0,0.0,1.0,0.0,0.0,1.8496,1.8496,2009.088,0.0,2009.088,2010.9376,2009.088
InceptionV3/InceptionV3/Conv2d_2b_3x3/BiasAdd,10.0,64.0,109.0,109.0,64.0,109.0,109.0,0.0,0.0,1520768.0,64.0,0.0,760384.0,760384.0,760384.0,760384.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0064,0.0064,0.0,0.0,0.0,0.0064,0.0064
InceptionV3/InceptionV3/Conv2d_2b_3x3/Relu,10.0,64.0,109.0,109.0,64.0,109.0,109.0,0.0,0.0,1520768.0,64.0,0.0,760384.0,760384.0,760384.0,760384.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0064,0.0064,0.0,0.0,0.0,0.0064,0.0064
