,no_of_images,ch_in,dim_in_row,dim_in_column,ch_out,dim_out_row,dim_out_column,filter_row,filter_column,feature_map_memory,filter_coefficient_memory,macs,comp,activation,input_map_bytes,output_map_bytes,fitler_coeff_bytes,input_map_location,output_map_location,fitler_location,input_data_movement*1000000.0,output_data_movement*1000000.0,filter_data_movement*1000000.0,total_data_movement*1000000.0,matrix_compute_time*1000000.0,vector_compute_time*1000000.0,total_compute_time*1000000.0,serial*1000000.0,parallel*1000000.0
Const,10.0,3.0,224.0,224.0,3.0,224.0,224.0,0.0,0.0,301056.0,3.0,0.0,150528.0,150528.0,150528.0,150528.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0003,0.0003,0.0,0.0,0.0,0.0003,0.0003
MobilenetV2/Conv/,10.0,3.0,224.0,224.0,32.0,112.0,112.0,3.0,3.0,1756160.0,896.0,43352064.0,150528.0,401408.0,150528.0,401408.0,896.0,0.0,0.0,1.0,0.0,0.0,0.0896,0.0896,0.0,43352.062,43352.062,43352.152,43352.062
MobilenetV2/Conv/BatchNorm/FusedBatchNorm,10.0,32.0,112.0,112.0,32.0,112.0,112.0,0.0,0.0,802816.0,32.0,0.0,401408.0,401408.0,401408.0,401408.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0032,0.0032,0.0,0.0,0.0,0.0032,0.0032
MobilenetV2/Conv/Relu6,10.0,32.0,112.0,112.0,32.0,112.0,112.0,0.0,0.0,802816.0,32.0,0.0,401408.0,401408.0,401408.0,401408.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0032,0.0032,0.0,0.0,0.0,0.0032,0.0032
MobilenetV2/expanded_conv/depthwise/BatchNorm/FusedBatchNorm,10.0,32.0,112.0,112.0,32.0,112.0,112.0,0.0,0.0,802816.0,32.0,0.0,401408.0,401408.0,401408.0,401408.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0032,0.0032,0.0,0.0,0.0,0.0032,0.0032
MobilenetV2/expanded_conv/depthwise/Relu6,10.0,32.0,112.0,112.0,32.0,112.0,112.0,0.0,0.0,802816.0,32.0,0.0,401408.0,401408.0,401408.0,401408.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0032,0.0032,0.0,0.0,0.0,0.0032,0.0032
MobilenetV2/expanded_conv/project/,10.0,32.0,112.0,112.0,16.0,112.0,112.0,1.0,1.0,602112.0,528.0,6422528.0,401408.0,200704.0,401408.0,200704.0,528.0,0.0,0.0,1.0,0.0,0.0,0.0528,0.0528,57.344,0.0,57.344,57.3968,57.344
MobilenetV2/expanded_conv/project/BatchNorm/FusedBatchNorm,10.0,16.0,112.0,112.0,16.0,112.0,112.0,0.0,0.0,401408.0,16.0,0.0,200704.0,200704.0,200704.0,200704.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0016,0.0016,0.0,0.0,0.0,0.0016,0.0016
MobilenetV2/expanded_conv_1/expand/,10.0,16.0,112.0,112.0,96.0,112.0,112.0,1.0,1.0,1404928.0,1632.0,19267584.0,200704.0,1204224.0,200704.0,1204224.0,1632.0,0.0,0.0,1.0,0.0,0.0,0.1632,0.1632,172.032,0.0,172.032,172.1952,172.032
MobilenetV2/expanded_conv_1/expand/BatchNorm/FusedBatchNorm,10.0,96.0,112.0,112.0,96.0,112.0,112.0,0.0,0.0,2408448.0,96.0,0.0,1204224.0,1204224.0,1204224.0,1204224.0,96.0,0.0,0.0,1.0,0.0,0.0,0.0096,0.0096,0.0,0.0,0.0,0.0096,0.0096
MobilenetV2/expanded_conv_1/expand/Relu6,10.0,96.0,112.0,112.0,96.0,112.0,112.0,0.0,0.0,2408448.0,96.0,0.0,1204224.0,1204224.0,1204224.0,1204224.0,96.0,0.0,0.0,1.0,0.0,0.0,0.0096,0.0096,0.0,0.0,0.0,0.0096,0.0096
MobilenetV2/expanded_conv_1/depthwise/BatchNorm/FusedBatchNorm,10.0,96.0,112.0,112.0,96.0,56.0,56.0,0.0,0.0,2408448.0,96.0,0.0,1204224.0,301056.0,1204224.0,301056.0,96.0,0.0,0.0,1.0,0.0,0.0,0.0096,0.0096,0.0,0.0,0.0,0.0096,0.0096
MobilenetV2/expanded_conv_1/depthwise/Relu6,10.0,96.0,56.0,56.0,96.0,56.0,56.0,0.0,0.0,602112.0,96.0,0.0,301056.0,301056.0,301056.0,301056.0,96.0,0.0,0.0,1.0,0.0,0.0,0.0096,0.0096,0.0,0.0,0.0,0.0096,0.0096
MobilenetV2/expanded_conv_1/project/,10.0,96.0,56.0,56.0,24.0,56.0,56.0,1.0,1.0,376320.0,2328.0,7225344.0,301056.0,75264.0,301056.0,75264.0,2328.0,0.0,0.0,1.0,0.0,0.0,0.2328,0.2328,129.024,0.0,129.024,129.2568,129.024
MobilenetV2/expanded_conv_1/project/BatchNorm/FusedBatchNorm,10.0,24.0,56.0,56.0,24.0,56.0,56.0,0.0,0.0,150528.0,24.0,0.0,75264.0,75264.0,75264.0,75264.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0024,0.0024,0.0,0.0,0.0,0.0024,0.0024
MobilenetV2/expanded_conv_2/expand/,10.0,24.0,56.0,56.0,144.0,56.0,56.0,1.0,1.0,526848.0,3600.0,10838016.0,75264.0,451584.0,75264.0,451584.0,3600.0,0.0,0.0,1.0,0.0,0.0,0.36,0.36,193.536,0.0,193.536,193.896,193.536
MobilenetV2/expanded_conv_2/expand/BatchNorm/FusedBatchNorm,10.0,144.0,56.0,56.0,144.0,56.0,56.0,0.0,0.0,903168.0,144.0,0.0,451584.0,451584.0,451584.0,451584.0,144.0,0.0,0.0,1.0,0.0,0.0,0.0144,0.0144,0.0,0.0,0.0,0.0144,0.0144
MobilenetV2/expanded_conv_2/expand/Relu6,10.0,144.0,56.0,56.0,144.0,56.0,56.0,0.0,0.0,903168.0,144.0,0.0,451584.0,451584.0,451584.0,451584.0,144.0,0.0,0.0,1.0,0.0,0.0,0.0144,0.0144,0.0,0.0,0.0,0.0144,0.0144
MobilenetV2/expanded_conv_2/depthwise/BatchNorm/FusedBatchNorm,10.0,144.0,56.0,56.0,144.0,56.0,56.0,0.0,0.0,903168.0,144.0,0.0,451584.0,451584.0,451584.0,451584.0,144.0,0.0,0.0,1.0,0.0,0.0,0.0144,0.0144,0.0,0.0,0.0,0.0144,0.0144
MobilenetV2/expanded_conv_2/depthwise/Relu6,10.0,144.0,56.0,56.0,144.0,56.0,56.0,0.0,0.0,903168.0,144.0,0.0,451584.0,451584.0,451584.0,451584.0,144.0,0.0,0.0,1.0,0.0,0.0,0.0144,0.0144,0.0,0.0,0.0,0.0144,0.0144
MobilenetV2/expanded_conv_2/project/,10.0,144.0,56.0,56.0,24.0,56.0,56.0,1.0,1.0,526848.0,3480.0,10838016.0,451584.0,75264.0,451584.0,75264.0,3480.0,0.0,0.0,1.0,0.0,0.0,0.348,0.348,193.536,0.0,193.536,193.884,193.536
MobilenetV2/expanded_conv_2/project/BatchNorm/FusedBatchNorm,10.0,24.0,56.0,56.0,24.0,56.0,56.0,0.0,0.0,150528.0,24.0,0.0,75264.0,75264.0,75264.0,75264.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0024,0.0024,0.0,0.0,0.0,0.0024,0.0024
MobilenetV2/expanded_conv_3/expand/,10.0,24.0,56.0,56.0,144.0,56.0,56.0,1.0,1.0,526848.0,3600.0,10838016.0,75264.0,451584.0,75264.0,451584.0,3600.0,0.0,0.0,1.0,0.0,0.0,0.36,0.36,193.536,0.0,193.536,193.896,193.536
MobilenetV2/expanded_conv_3/expand/BatchNorm/FusedBatchNorm,10.0,144.0,56.0,56.0,144.0,56.0,56.0,0.0,0.0,903168.0,144.0,0.0,451584.0,451584.0,451584.0,451584.0,144.0,0.0,0.0,1.0,0.0,0.0,0.0144,0.0144,0.0,0.0,0.0,0.0144,0.0144
MobilenetV2/expanded_conv_3/expand/Relu6,10.0,144.0,56.0,56.0,144.0,56.0,56.0,0.0,0.0,903168.0,144.0,0.0,451584.0,451584.0,451584.0,451584.0,144.0,0.0,0.0,1.0,0.0,0.0,0.0144,0.0144,0.0,0.0,0.0,0.0144,0.0144
MobilenetV2/expanded_conv_3/depthwise/BatchNorm/FusedBatchNorm,10.0,144.0,56.0,56.0,144.0,28.0,28.0,0.0,0.0,903168.0,144.0,0.0,451584.0,112896.0,451584.0,112896.0,144.0,0.0,0.0,1.0,0.0,0.0,0.0144,0.0144,0.0,0.0,0.0,0.0144,0.0144
MobilenetV2/expanded_conv_3/depthwise/Relu6,10.0,144.0,28.0,28.0,144.0,28.0,28.0,0.0,0.0,225792.0,144.0,0.0,112896.0,112896.0,112896.0,112896.0,144.0,0.0,0.0,1.0,0.0,0.0,0.0144,0.0144,0.0,0.0,0.0,0.0144,0.0144
MobilenetV2/expanded_conv_3/project/,10.0,144.0,28.0,28.0,32.0,28.0,28.0,1.0,1.0,137984.0,4640.0,3612672.0,112896.0,25088.0,112896.0,25088.0,4640.0,0.0,0.0,1.0,0.0,0.0,0.464,0.464,129.024,0.0,129.024,129.488,129.024
MobilenetV2/expanded_conv_3/project/BatchNorm/FusedBatchNorm,10.0,32.0,28.0,28.0,32.0,28.0,28.0,0.0,0.0,50176.0,32.0,0.0,25088.0,25088.0,25088.0,25088.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0032,0.0032,0.0,0.0,0.0,0.0032,0.0032
MobilenetV2/expanded_conv_4/expand/,10.0,32.0,28.0,28.0,192.0,28.0,28.0,1.0,1.0,175616.0,6336.0,4816896.0,25088.0,150528.0,25088.0,150528.0,6336.0,0.0,0.0,1.0,0.0,0.0,0.6336,0.6336,172.032,0.0,172.032,172.6656,172.032
