,no_of_images,ch_in,dim_in_row,dim_in_column,ch_out,dim_out_row,dim_out_column,filter_row,filter_column,feature_map_memory,filter_coefficient_memory,macs,comp,activation,input_map_bytes,output_map_bytes,fitler_coeff_bytes,input_map_location,output_map_location,fitler_location,input_data_movement*1000000.0,output_data_movement*1000000.0,filter_data_movement*1000000.0,total_data_movement*1000000.0,matrix_compute_time*1000000.0,vector_compute_time*1000000.0,total_compute_time*1000000.0,serial*1000000.0,parallel*1000000.0
Const,10.0,3.0,224.0,224.0,3.0,224.0,224.0,0.0,0.0,301056.0,3.0,0.0,150528.0,150528.0,150528.0,150528.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0003,0.0003,0.0,0.0,0.0,0.0003,0.0003
resnet_v1_50/conv1/,10.0,3.0,224.0,224.0,64.0,112.0,112.0,7.0,7.0,3361792.0,9472.0,472055800.0,150528.0,802816.0,150528.0,802816.0,9472.0,0.0,0.0,1.0,0.0,0.0,0.9472,0.9472,2107.392,0.0,2107.392,2108.339,2107.392
resnet_v1_50/conv1/BiasAdd,10.0,64.0,112.0,112.0,64.0,112.0,112.0,0.0,0.0,1605632.0,64.0,0.0,802816.0,802816.0,802816.0,802816.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0064,0.0064,0.0,0.0,0.0,0.0064,0.0064
resnet_v1_50/conv1/Relu,10.0,64.0,112.0,112.0,64.0,112.0,112.0,0.0,0.0,1605632.0,64.0,0.0,802816.0,802816.0,802816.0,802816.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0064,0.0064,0.0,0.0,0.0,0.0064,0.0064
resnet_v1_50/pool1/,10.0,64.0,112.0,112.0,64.0,55.0,55.0,2.0,2.0,1605632.0,16448.0,205520900.0,802816.0,193600.0,802816.0,193600.0,16448.0,0.0,0.0,1.0,0.0,0.0,1.6448,1.6448,0.0,205520.89,205520.89,205522.55,205520.89
resnet_v1_50/block1/unit_1/bottleneck_v1/shortcut/,10.0,64.0,55.0,55.0,256.0,55.0,55.0,1.0,1.0,968000.0,16640.0,49561600.0,193600.0,774400.0,193600.0,774400.0,16640.0,0.0,0.0,1.0,0.0,0.0,1.664,1.664,0.0,49561.6,49561.6,49563.266,49561.6
resnet_v1_50/block1/unit_1/bottleneck_v1/shortcut/BiasAdd,10.0,256.0,55.0,55.0,256.0,55.0,55.0,0.0,0.0,1548800.0,256.0,0.0,774400.0,774400.0,774400.0,774400.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0256,0.0256,0.0,0.0,0.0,0.0256,0.0256
resnet_v1_50/block1/unit_1/bottleneck_v1/conv1/,10.0,256.0,55.0,55.0,64.0,55.0,55.0,1.0,1.0,968000.0,16448.0,49561600.0,774400.0,193600.0,774400.0,193600.0,16448.0,0.0,0.0,1.0,0.0,0.0,1.6448,1.6448,901.12,0.0,901.12,902.7648,901.12
resnet_v1_50/block1/unit_1/bottleneck_v1/conv1/BiasAdd,10.0,64.0,55.0,55.0,64.0,55.0,55.0,0.0,0.0,387200.0,64.0,0.0,193600.0,193600.0,193600.0,193600.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0064,0.0064,0.0,0.0,0.0,0.0064,0.0064
resnet_v1_50/block1/unit_1/bottleneck_v1/conv1/Relu,10.0,64.0,55.0,55.0,64.0,55.0,55.0,0.0,0.0,387200.0,64.0,0.0,193600.0,193600.0,193600.0,193600.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0064,0.0064,0.0,0.0,0.0,0.0064,0.0064
