,no_of_images,ch_in,dim_in_row,dim_in_column,ch_out,dim_out_row,dim_out_column,filter_row,filter_column,feature_map_memory,filter_coefficient_memory,macs,comp,activation,input_map_bytes,output_map_bytes,fitler_coeff_bytes,input_map_location,output_map_location,fitler_location,input_data_movement*1000000.0,output_data_movement*1000000.0,filter_data_movement*1000000.0,total_data_movement*1000000.0,matrix_compute_time*1000000.0,vector_compute_time*1000000.0,total_compute_time*1000000.0,serial*1000000.0,parallel*1000000.0
Const,10.0,3.0,224.0,224.0,3.0,224.0,224.0,0.0,0.0,301056.0,3.0,0.0,150528.0,150528.0,150528.0,150528.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0003,0.0003,0.0,0.0,0.0,0.0003,0.0003
vgg_19/conv1/conv1_1/,10.0,3.0,224.0,224.0,64.0,224.0,224.0,3.0,3.0,3361792.0,1792.0,86704130.0,150528.0,3211264.0,150528.0,3211264.0,1792.0,0.0,0.0,1.0,0.0,0.0,0.1792,0.1792,387.072,0.0,387.072,387.2512,387.072
vgg_19/conv1/conv1_1/BiasAdd,10.0,64.0,224.0,224.0,64.0,224.0,224.0,0.0,0.0,6422528.0,64.0,0.0,3211264.0,3211264.0,3211264.0,3211264.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0064,0.0064,0.0,0.0,0.0,0.0064,0.0064
vgg_19/conv1/conv1_1/Relu,10.0,64.0,224.0,224.0,64.0,224.0,224.0,0.0,0.0,6422528.0,64.0,0.0,3211264.0,3211264.0,3211264.0,3211264.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0064,0.0064,0.0,0.0,0.0,0.0064,0.0064
vgg_19/conv1/conv1_2/,10.0,64.0,224.0,224.0,64.0,224.0,224.0,3.0,3.0,6422528.0,36928.0,1849688000.0,3211264.0,3211264.0,3211264.0,3211264.0,36928.0,0.0,0.0,1.0,0.0,0.0,3.6928,3.6928,8257.536,0.0,8257.536,8261.229,8257.536
vgg_19/conv1/conv1_2/BiasAdd,10.0,64.0,224.0,224.0,64.0,224.0,224.0,0.0,0.0,6422528.0,64.0,0.0,3211264.0,3211264.0,3211264.0,3211264.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0064,0.0064,0.0,0.0,0.0,0.0064,0.0064
vgg_19/conv1/conv1_2/Relu,10.0,64.0,224.0,224.0,64.0,224.0,224.0,0.0,0.0,6422528.0,64.0,0.0,3211264.0,3211264.0,3211264.0,3211264.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0064,0.0064,0.0,0.0,0.0,0.0064,0.0064
vgg_19/pool1/,10.0,64.0,224.0,224.0,64.0,112.0,112.0,2.0,2.0,6422528.0,16448.0,822083600.0,3211264.0,802816.0,3211264.0,802816.0,16448.0,0.0,0.0,1.0,0.0,0.0,1.6448,1.6448,0.0,822083.56,822083.56,822085.25,822083.56
vgg_19/conv2/conv2_1/,10.0,64.0,112.0,112.0,128.0,112.0,112.0,3.0,3.0,2408448.0,73856.0,924844000.0,802816.0,1605632.0,802816.0,1605632.0,73856.0,0.0,0.0,1.0,0.0,0.0,7.3856,7.3856,8257.536,0.0,8257.536,8264.922,8257.536
vgg_19/conv2/conv2_1/BiasAdd,10.0,128.0,112.0,112.0,128.0,112.0,112.0,0.0,0.0,3211264.0,128.0,0.0,1605632.0,1605632.0,1605632.0,1605632.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0128,0.0128,0.0,0.0,0.0,0.0128,0.0128
vgg_19/conv2/conv2_1/Relu,10.0,128.0,112.0,112.0,128.0,112.0,112.0,0.0,0.0,3211264.0,128.0,0.0,1605632.0,1605632.0,1605632.0,1605632.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0128,0.0128,0.0,0.0,0.0,0.0128,0.0128
vgg_19/conv2/conv2_2/,10.0,128.0,112.0,112.0,128.0,112.0,112.0,3.0,3.0,3211264.0,147584.0,1849688000.0,1605632.0,1605632.0,1605632.0,1605632.0,147584.0,0.0,0.0,1.0,0.0,0.0,14.7584,14.7584,16515.072,0.0,16515.072,16529.83,16515.072
